"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size","Param: withTLS"
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t001","thrpt",1,2,"26511,163525",NaN,"ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t002","thrpt",2,2,"37685,901928",NaN,"ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t004","thrpt",4,2,"66214,500264",NaN,"ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t008","thrpt",8,2,"85754,762695",NaN,"ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t016","thrpt",16,2,"94237,094473",NaN,"ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t032","thrpt",32,2,"95631,707737",NaN,"ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t064","thrpt",64,2,"95215,916840",NaN,"ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t128","thrpt",128,2,"94506,530553",NaN,"ops/s",,
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t001","thrpt",1,2,"29485,038560",NaN,"ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t001","thrpt",1,2,"28961,391493",NaN,"ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t002","thrpt",2,2,"52162,132371",NaN,"ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t002","thrpt",2,2,"52070,724600",NaN,"ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t004","thrpt",4,2,"74609,391341",NaN,"ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t004","thrpt",4,2,"81934,884421",NaN,"ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t008","thrpt",8,2,"75575,648293",NaN,"ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t008","thrpt",8,2,"75813,530030",NaN,"ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t016","thrpt",16,2,"62924,466102",NaN,"ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t016","thrpt",16,2,"59312,046322",NaN,"ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t032","thrpt",32,2,"59571,949249",NaN,"ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t032","thrpt",32,2,"55814,669721",NaN,"ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t064","thrpt",64,2,"49500,903041",NaN,"ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t064","thrpt",64,2,"58573,113604",NaN,"ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t128","thrpt",128,2,"53447,672358",NaN,"ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t128","thrpt",128,2,"41623,057195",NaN,"ops/s",,false
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,2,"17677516,739820",NaN,"ops/s",1024,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,2,"18074175,263302",NaN,"ops/s",8192,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,2,"18076191,844125",NaN,"ops/s",262144,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,2,"17951349,791615",NaN,"ops/s",1048576,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,2,"40411191,681973",NaN,"ops/s",1024,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,2,"6079856,155238",NaN,"ops/s",8192,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,2,"204856,902455",NaN,"ops/s",262144,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,2,"48522,403524",NaN,"ops/s",1048576,
